Date,Time,Open,High,Low,Close,Volume
2018.01.11,15:00,6.50975,6.50994,6.50266,6.50364,3110
2018.01.11,16:00,6.50374,6.50464,6.5002,6.50064,2277
2018.01.11,17:00,6.5006,6.50144,6.49325,6.49399,3375
2018.01.11,18:00,6.494,6.49694,6.49354,6.49604,1901
2018.01.11,19:00,6.49599,6.49624,6.48718,6.48853,1297
2018.01.11,20:00,6.48853,6.49066,6.48784,6.48996,925
2018.01.11,21:00,6.48992,6.49302,6.48974,6.49191,864
2018.01.11,22:00,6.49194,6.49366,6.49113,6.49114,655
2018.01.12,1:00,6.49121,6.49219,6.48654,6.49062,1766
2018.01.12,2:00,6.49061,6.49254,6.48545,6.49054,3353
2018.01.12,3:00,6.49044,6.49575,6.49014,6.49241,3566
2018.01.12,4:00,6.49238,6.49238,6.48279,6.48728,3241
2018.01.12,5:00,6.48729,6.4879,6.48099,6.48524,2281
2018.01.12,6:00,6.48532,6.48604,6.48081,6.48084,1021
2018.01.12,7:00,6.48083,6.48694,6.47994,6.48629,2432
2018.01.12,8:00,6.48632,6.48644,6.47764,6.47934,2381
2018.01.12,9:00,6.47935,6.48145,6.47541,6.48087,3911
2018.01.12,10:00,6.48073,6.48334,6.46471,6.46774,5010
2018.01.12,11:00,6.46764,6.46874,6.46132,6.46658,4151
2018.01.12,12:00,6.46655,6.46894,6.46574,6.46654,2056
2018.01.12,13:00,6.46654,6.46914,6.46397,6.46825,1467
2018.01.12,14:00,6.46834,6.46904,6.46266,6.46404,1853
2018.01.12,15:00,6.46414,6.47734,6.46402,6.47591,4030
2018.01.12,16:00,6.47596,6.47721,6.46752,6.47102,3439
2018.01.12,17:00,6.47097,6.47097,6.46547,6.46812,2986
2018.01.12,18:00,6.46823,6.47297,6.46646,6.4706,2046
2018.01.12,19:00,6.47065,6.47101,6.46425,6.46428,1219
2018.01.12,20:00,6.46428,6.46464,6.45966,6.46113,1822
2018.01.12,21:00,6.46114,6.46184,6.45932,6.45981,1414
2018.01.12,22:00,6.45981,6.46044,6.45936,6.45936,554
2018.01.15,1:00,6.45793,6.45822,6.45692,6.45745,749
2018.01.15,2:00,6.45751,6.45924,6.44816,6.44994,3807
2018.01.15,3:00,6.44994,6.45534,6.44034,6.44152,5546
2018.01.15,4:00,6.44153,6.44172,6.42929,6.43604,5113
2018.01.15,5:00,6.43599,6.44104,6.42905,6.43064,3902
2018.01.15,6:00,6.43074,6.4328,6.42013,6.42185,3050
2018.01.15,7:00,6.42185,6.42629,6.41399,6.42443,5188
2018.01.15,8:00,6.42474,6.43753,6.42183,6.43657,4777
2018.01.15,9:00,6.43658,6.44734,6.4348,6.44107,5255
2018.01.15,10:00,6.44116,6.44504,6.43639,6.43715,3830
2018.01.15,11:00,6.43717,6.43734,6.42984,6.4303,3588
2018.01.15,12:00,6.43034,6.4348,6.42674,6.43247,3479
2018.01.15,13:00,6.43248,6.43799,6.43151,6.43782,2642
2018.01.15,14:00,6.43783,6.43805,6.43448,6.4362,1616
2018.01.15,15:00,6.4362,6.43799,6.43431,6.43469,2472
2018.01.15,16:00,6.4347,6.43745,6.43447,6.437,2400
2018.01.15,17:00,6.43703,6.43856,6.43515,6.43548,2099
2018.01.15,18:00,6.43548,6.4355,6.42735,6.42875,1920
2018.01.15,19:00,6.42876,6.43479,6.4228,6.43476,1625
2018.01.15,20:00,6.43474,6.43474,6.42464,6.42771,642
2018.01.15,21:00,6.42772,6.4285,6.42767,6.42827,80
2018.01.15,22:00,6.42827,6.4293,6.42827,6.42911,69
2018.01.16,1:00,6.43134,6.43403,6.43133,6.4337,2626
2018.01.16,2:00,6.43405,6.44204,6.43363,6.44134,3081
2018.01.16,3:00,6.44144,6.44534,6.43563,6.43614,3248
2018.01.16,4:00,6.43614,6.43827,6.42356,6.4304,4018
2018.01.16,5:00,6.4304,6.43314,6.4274,6.43167,2346
2018.01.16,6:00,6.43167,6.43167,6.42592,6.42594,1624
2018.01.16,7:00,6.42595,6.43144,6.42448,6.42963,2452
2018.01.16,8:00,6.42959,6.43516,6.42754,6.43159,3694
2018.01.16,9:00,6.4316,6.43994,6.43159,6.43395,5231
2018.01.16,10:00,6.43394,6.44014,6.43085,6.43719,3709
2018.01.16,11:00,6.43719,6.43914,6.43475,6.43704,3206
2018.01.16,12:00,6.43742,6.44224,6.43611,6.43703,3112
2018.01.16,13:00,6.43703,6.44234,6.43673,6.43784,2346
